Identification,Transect number,Species code,Species,Start (meters),End (meters),Maximum height (meters),Cover (meters)
Identification ,Numéro du transect ,Code de l’espèce,Espèce,Début (mètres),Fin (mètres),Hauteur maximale (mètres),Couverture (mètres)
1,T01,Betu gla,Betula glandulosa,0.02,0.06,26,0.04
2,T01,Betu gla,Betula glandulosa,0.75,0.88,18,0.13
3,T01,Betu gla,Betula glandulosa,1.37,1.75,28,0.38
4,T01,Betu gla,Betula glandulosa,2.85,2.86,16,0.01
5,T01,Betu gla,Betula glandulosa,5.35,6.27,43,0.92
6,T01,Betu gla,Betula glandulosa,6.46,6.50,23,0.04
7,T01,Betu gla,Betula glandulosa,7.55,7.66,24,0.11
8,T01,Betu gla,Betula glandulosa,8.45,8.47,17,0.02
9,T01,Betu gla,Betula glandulosa,8.53,8.57,6,0.04
10,T01,Betu gla,Betula glandulosa,8.79,9.17,20,0.38
11,T01,Sali pul,Salix pulchra,11.04,11.22,31,0.18
12,T01,Betu gla,Betula glandulosa,12.93,13.89,38,0.96
13,T01,Betu gla,Betula glandulosa,14.00,14.02,19,0.02
14,T01,Betu gla,Betula glandulosa,14.22,14.26,21,0.04
15,T01,Betu gla,Betula glandulosa,14.39,14.43,21,0.04
16,T01,Sali pul,Salix pulchra,14.83,14.87,22,0.04
17,T01,Sali pul,Salix pulchra,14.92,15.04,22,0.12
18,T01,Sali pul,Salix pulchra,15.14,15.22,20,0.08
19,T01,Betu gla,Betula glandulosa,15.20,15.40,22,0.20
20,T01,Betu gla,Betula glandulosa,15.78,15.80,20,0.02
21,T01,Betu gla,Betula glandulosa,15.87,15.93,19,0.06
22,T01,Sali pul,Salix pulchra,16.09,16.17,20,0.08
23,T01,Sali pul,Salix pulchra,16.19,16.22,22,0.03
24,T01,Sali gla,Salix glauca,16.29,16.31,17,0.02
25,T01,Betu gla,Betula glandulosa,16.40,16.41,11,0.01
26,T01,Sali pul,Salix pulchra,16.44,16.50,15,0.06
27,T01,Betu gla,Betula glandulosa,16.46,16.49,18,0.03
28,T01,Betu gla,Betula glandulosa,16.52,16.75,23,0.23
29,T01,Betu gla,Betula glandulosa,16.82,16.88,20,0.06
30,T01,Betu gla,Betula glandulosa,17.06,17.08,15,0.02
31,T01,Sali pul,Salix pulchra,17.08,17.63,22,0.55
32,T01,Sali pul,Salix pulchra,17.77,17.98,22,0.21
33,T01,Sali pul,Salix pulchra,18.59,18.67,31,0.08
34,T01,Betu gla,Betula glandulosa,18.65,18.69,25,0.04
